2.962741,184,6513,41,21,0.140669,0.146647,0.511302,0.201382,0.50297,235,C:\signatureml\signatures\full_org\original_10_1.png
2.930745,188,8106,82,19,0.13174,0.144303,0.520154,0.203804,0.500969,242,C:\signatureml\signatures\full_org\original_10_10.png
2.912022,193,5385,49,11,0.144231,0.153045,0.48758,0.215144,0.463064,206,C:\signatureml\signatures\full_org\original_10_11.png
2.875751,185,5622,53,23,0.141183,0.150947,0.496778,0.211092,0.485012,306,C:\signatureml\signatures\full_org\original_10_12.png
3.03458,185,7515,136,32,0.112424,0.148176,0.525927,0.213473,0.486176,223,C:\signatureml\signatures\full_org\original_10_13.png
2.993328,188,8850,111,29,0.130952,0.141331,0.523199,0.204518,0.499821,283,C:\signatureml\signatures\full_org\original_10_14.png
2.939463,188,8889,57,12,0.10556,0.189393,0.501625,0.203422,0.513806,226,C:\signatureml\signatures\full_org\original_10_15.png
2.977149,184,7794,60,21,0.11729,0.166268,0.499356,0.217087,0.479846,289,C:\signatureml\signatures\full_org\original_10_16.png
2.969955,198,7353,70,21,0.134062,0.166464,0.466586,0.232888,0.418295,225,C:\signatureml\signatures\full_org\original_10_17.png
2.846147,185,7248,52,30,0.167971,0.142129,0.471338,0.218562,0.431797,232,C:\signatureml\signatures\full_org\original_10_18.png
2.895713,188,8124,54,18,0.129389,0.161591,0.498157,0.210863,0.475483,258,C:\signatureml\signatures\full_org\original_10_19.png
2.909747,193,6825,39,30,0.13093,0.172331,0.496291,0.200449,0.517125,259,C:\signatureml\signatures\full_org\original_10_2.png
2.986613,190,7566,50,20,0.122324,0.175076,0.498471,0.204128,0.486,236,C:\signatureml\signatures\full_org\original_10_20.png
2.875702,184,8910,47,25,0.150028,0.15569,0.483487,0.210794,0.462526,222,C:\signatureml\signatures\full_org\original_10_21.png
2.924248,185,7014,67,35,0.132283,0.14804,0.505497,0.214181,0.470801,234,C:\signatureml\signatures\full_org\original_10_22.png
2.945019,186,9630,43,28,0.09503,0.198316,0.501214,0.20544,0.531237,266,C:\signatureml\signatures\full_org\original_10_23.png
2.886549,184,7989,79,35,0.174021,0.127747,0.474798,0.223434,0.404787,289,C:\signatureml\signatures\full_org\original_10_24.png
2.887975,191,8073,43,30,0.236127,0.087388,0.464768,0.211717,0.406657,342,C:\signatureml\signatures\full_org\original_10_3.png
2.959433,187,9165,83,22,0.170903,0.117506,0.507754,0.203837,0.472862,270,C:\signatureml\signatures\full_org\original_10_4.png
3.011693,190,8331,47,39,0.166346,0.121708,0.515896,0.19605,0.493227,294,C:\signatureml\signatures\full_org\original_10_5.png
2.872085,186,8493,81,29,0.190535,0.103985,0.499066,0.206413,0.451986,297,C:\signatureml\signatures\full_org\original_10_6.png
2.897624,185,7809,57,24,0.191617,0.124751,0.474884,0.208749,0.442477,261,C:\signatureml\signatures\full_org\original_10_7.png
2.93294,191,9468,57,35,0.158668,0.145415,0.486569,0.209348,0.460781,248,C:\signatureml\signatures\full_org\original_10_8.png
2.866558,192,7638,42,30,0.15237,0.15538,0.476674,0.215576,0.446403,230,C:\signatureml\signatures\full_org\original_10_9.png
2.989255,239,121368,9653,3255,0.130579,0.109622,0.378752,0.381047,-0.004499,330,C:\signatureml\signatures\full_org\original_11_1.png
2.993624,239,119187,8147,3604,0.133701,0.109369,0.37491,0.38202,-0.009109,329,C:\signatureml\signatures\full_org\original_11_10.png
2.858955,178,9801,31,5,0.078657,0.292322,0.360178,0.268842,0.251858,101,C:\signatureml\signatures\full_org\original_11_11.png
2.900227,238,116481,10466,2068,0.135529,0.112078,0.373423,0.37897,-0.006135,360,C:\signatureml\signatures\full_org\original_11_12.png
2.967407,172,10512,39,20,0.074639,0.289404,0.357738,0.278218,0.215498,117,C:\signatureml\signatures\full_org\original_11_13.png
3.023941,241,112017,7438,3643,0.140431,0.116076,0.367565,0.375929,-0.00916,330,C:\signatureml\signatures\full_org\original_11_14.png
2.98314,170,15543,39,9,0.187078,0.190293,0.362584,0.260045,0.231464,336,C:\signatureml\signatures\full_org\original_11_15.png
2.979691,174,11037,25,14,0.075182,0.303557,0.353072,0.268189,0.283501,120,C:\signatureml\signatures\full_org\original_11_16.png
2.979618,241,138981,8999,5270,0.144111,0.111915,0.367845,0.376128,-0.009442,402,C:\signatureml\signatures\full_org\original_11_17.png
2.863967,171,12477,67,22,0.149686,0.230286,0.345953,0.274075,0.204788,354,C:\signatureml\signatures\full_org\original_11_18.png
2.955746,173,11097,47,19,0.089222,0.264508,0.371891,0.274378,0.275155,147,C:\signatureml\signatures\full_org\original_11_19.png
3.018437,183,10143,34,10,0.082162,0.282953,0.348199,0.286687,0.182708,108,C:\signatureml\signatures\full_org\original_11_2.png
2.9579,176,11346,30,10,0.071186,0.302542,0.34661,0.279661,0.218946,147,C:\signatureml\signatures\full_org\original_11_20.png
2.857005,174,10668,78,20,0.084788,0.270932,0.384805,0.259475,0.331492,361,C:\signatureml\signatures\full_org\original_11_21.png
2.876978,174,9573,42,11,0.082981,0.280271,0.372566,0.264183,0.28206,238,C:\signatureml\signatures\full_org\original_11_22.png
2.935987,242,144495,9878,4467,0.138973,0.113045,0.370572,0.37741,-0.01113,395,C:\signatureml\signatures\full_org\original_11_23.png
2.895784,173,10497,36,14,0.078772,0.294269,0.362095,0.264864,0.289088,219,C:\signatureml\signatures\full_org\original_11_24.png
2.999522,173,9918,53,11,0.103125,0.260547,0.35293,0.283398,0.189988,116,C:\signatureml\signatures\full_org\original_11_3.png
3.039468,174,9564,38,7,0.071949,0.290073,0.348133,0.289845,0.186296,98,C:\signatureml\signatures\full_org\original_11_4.png
3.031814,178,9819,48,9,0.076405,0.284361,0.355925,0.283309,0.207526,115,C:\signatureml\signatures\full_org\original_11_5.png
3.000823,171,13866,66,10,0.147172,0.225709,0.346199,0.28092,0.151424,276,C:\signatureml\signatures\full_org\original_11_6.png
